n_blocks,algoritma,toplam_odul,kapasite_doluluk_yuzdesi,secilen_islem_sayisi,kullanilan_kapasite,toplam_kapasite,havuzdaki_islem_sayisi,islem_odulleri,kullanilan_kapasite_yuzdesi,bekleyen_islem_sayisi
5,Rastgele,4237102086517992448,100,438,149982610,150000000,865,4237102086517992448,100,427
5,Açgözlü (Greedy),5948237079242673152,100,251,149998068,150000000,865,5948237079242673152,100,614
5,Genetik Algoritma (YZ),5306834273188688896,100,397,149961498,150000000,865,5306834273188688896,100,468
5,Benzetilmiş Tavlama (YZ),4971335904473966592,100,344,149984375,150000000,865,4971335904473966592,100,521
6,Rastgele,5185017166202926080,100,511,179993878,180000000,1076,5185017166202926080,100,565
6,Açgözlü (Greedy),7144876735563916288,100,306,179980461,180000000,1076,7144876735563916288,100,770
6,Genetik Algoritma (YZ),6209200378831784960,100,528,179796282,180000000,1076,6209200378831784960,100,548
6,Benzetilmiş Tavlama (YZ),4936994840133269504,100,450,179980589,180000000,1076,4936994840133269504,100,626
7,Rastgele,5856940078851160064,100,647,209998698,210000000,1298,5856940078851160064,100,651
7,Açgözlü (Greedy),8277799022284675072,100,353,209988759,210000000,1298,8277799022284675072,100,945
7,Genetik Algoritma (YZ),7225110624288154624,100,633,209682155,210000000,1298,7225110624288154624,100,665
7,Benzetilmiş Tavlama (YZ),6268814083931013120,100,586,209999993,210000000,1298,6268814083931013120,100,712
8,Rastgele,7213257849031372800,100,648,239986530,240000000,1448,7213257849031372800,100,800
8,Açgözlü (Greedy),9414539394194743296,100,368,239992295,240000000,1448,9414539394194743296,100,1080
8,Genetik Algoritma (YZ),8137250616206067712,100,739,239170857,240000000,1448,8137250616206067712,100,709
8,Benzetilmiş Tavlama (YZ),6697895482686132224,100,675,239997775,240000000,1448,6697895482686132224,100,773
9,Rastgele,8116169981756985344,100,604,269982596,270000000,1613,8116169981756985344,100,1009
9,Açgözlü (Greedy),12072410112312254464,100,421,269982930,270000000,1613,12072410112312254464,100,1192
9,Genetik Algoritma (YZ),9851368444622530560,100,808,269797128,270000000,1613,9851368444622530560,100,805
9,Benzetilmiş Tavlama (YZ),7980908121787941888,100,759,269998265,270000000,1613,7980908121787941888,100,854
10,Rastgele,9482262337614088192,100,733,299982239,300000000,1769,9482262337614088192,100,1036
10,Açgözlü (Greedy),12919569038521767936,100,536,299997065,300000000,1769,12919569038521767936,100,1233
10,Genetik Algoritma (YZ),11360537177578942464,100,857,299396131,300000000,1769,11360537177578942464,100,912
10,Benzetilmiş Tavlama (YZ),9223780216666421248,100,851,299998979,300000000,1769,9223780216666421248,100,918
11,Rastgele,10572036598250178560,100,968,329995776,330000000,1934,10572036598250178560,100,966
11,Açgözlü (Greedy),13751996258093754368,100,671,329983396,330000000,1934,13751996258093754368,100,1263
11,Genetik Algoritma (YZ),12096977133095698432,100,978,329140734,330000000,1934,12096977133095698432,100,956
11,Benzetilmiş Tavlama (YZ),9746894857728839680,100,892,329998495,330000000,1934,9746894857728839680,100,1042
12,Rastgele,10589915408677931008,100,1038,359980886,360000000,2074,10589915408677931008,100,1036
12,Açgözlü (Greedy),14594331927093901312,100,824,359990314,360000000,2074,14594331927093901312,100,1250
12,Genetik Algoritma (YZ),12749966562954442752,100,1038,359225805,360000000,2074,12749966562954442752,100,1036
12,Benzetilmiş Tavlama (YZ),10473969076142364672,100,1008,359999742,360000000,2074,10473969076142364672,100,1066
13,Rastgele,11251923677797478400,100,1108,389985261,390000000,2163,11251923677797478400,100,1055
13,Açgözlü (Greedy),15257476604454215680,100,992,389998286,390000000,2163,15257476604454215680,100,1171
13,Genetik Algoritma (YZ),13662964437002772480,100,1069,389289205,390000000,2163,13662964437002772480,100,1094
13,Benzetilmiş Tavlama (YZ),11090163157308190720,100,1134,389993935,390000000,2163,11090163157308190720,100,1029
14,Rastgele,13099298353664804864,100,1275,419984471,420000000,2374,13099298353664804864,100,1099
14,Açgözlü (Greedy),16075808107151122432,100,979,419999421,420000000,2374,16075808107151122432,100,1395
14,Genetik Algoritma (YZ),14719258475938895872,100,1202,419933808,420000000,2374,14719258475938895872,100,1172
14,Benzetilmiş Tavlama (YZ),11888553940236675072,100,1215,419982485,420000000,2374,11888553940236675072,100,1159
15,Rastgele,13282381009445720064,100,1421,449982000,450000000,2529,13282381009445720064,100,1108
15,Açgözlü (Greedy),16786563429207414784,100,1167,449990609,450000000,2529,16786563429207414784,100,1362
15,Genetik Algoritma (YZ),14991942433346314240,100,1309,448717447,450000000,2529,14991942433346314240,100,1220
15,Benzetilmiş Tavlama (YZ),13116243697031591936,100,1263,449979948,450000000,2529,13116243697031591936,100,1266
16,Rastgele,14276225038204035072,100,1546,479995214,480000000,2626,14276225038204035072,100,1080
16,Açgözlü (Greedy),17484358414825070592,100,1287,479979747,480000000,2626,17484358414825070592,100,1339
