n_blocks,algoritma,toplam_odul,kapasite_doluluk_yuzdesi,secilen_islem_sayisi,geride_kalan_islem_sayisi,ortalama_odul_per_tx,ortalama_agirlik_per_tx,kullanilan_kapasite,toplam_kapasite,havuzdaki_islem_sayisi
5,Rastgele,4301097785217402368,100,420,445,10240709012422386,357109,149985628,150000000,865
5,Açgözlü (Greedy),5948237079242673152,100,251,614,23698155694193916,597602,149998068,150000000,865
5,Genetik Algoritma (YZ),5306751475760444416,99,426,439,12457163088639540,348706,148548820,150000000,865
5,Benzetilmiş Tavlama (YZ),4312303869095368192,100,403,462,10700505878648556,372166,149982881,150000000,865
6,Rastgele,5198241744831465472,100,438,638,11868131837514762,410940,179991863,180000000,1076
6,Açgözlü (Greedy),7144876735563916288,100,306,770,23349270377659860,588171,179980461,180000000,1076
6,Genetik Algoritma (YZ),6520186766665097216,100,523,553,12466896303374946,344159,179995304,180000000,1076
6,Benzetilmiş Tavlama (YZ),5217974508980460544,100,484,592,10780939068141448,371880,179989974,180000000,1076
7,Rastgele,5515960137982417920,100,601,697,9177970279504856,349401,209990149,210000000,1298
7,Açgözlü (Greedy),8277799022284675072,100,353,945,23449855587208712,594869,209988759,210000000,1298
7,Genetik Algoritma (YZ),7392923133233808384,100,640,658,11551442395677826,328104,209986371,210000000,1298
7,Benzetilmiş Tavlama (YZ),6036901439218198528,100,569,729,10609668610225304,369032,209979410,210000000,1298
8,Rastgele,6853620253055185920,100,688,760,9961657344556956,348821,239988828,240000000,1448
8,Açgözlü (Greedy),9414539394194743296,100,368,1080,25582987484224844,652153,239992295,240000000,1448
8,Genetik Algoritma (YZ),8591393197780153344,99,710,738,12100553799690356,336311,238780769,240000000,1448
8,Benzetilmiş Tavlama (YZ),6852474733224038400,100,683,765,10032905905159646,351363,239980998,240000000,1448
9,Rastgele,7936646537325004800,100,680,933,11671539025477948,397036,269984378,270000000,1613
9,Açgözlü (Greedy),12072410112312254464,100,421,1192,28675558461549300,641290,269982930,270000000,1613
9,Genetik Algoritma (YZ),9977072080302510080,100,794,819,12565581965116512,339551,269603159,270000000,1613
9,Benzetilmiş Tavlama (YZ),8208356104720434176,100,690,923,11896168267710774,391278,269981667,270000000,1613
10,Rastgele,9455558372099469312,100,917,852,10311404985931808,327136,299983351,300000000,1769
10,Açgözlü (Greedy),12919569038521767936,100,536,1233,24103673579331656,559696,299997065,300000000,1769
10,Genetik Algoritma (YZ),11092161931432677376,100,878,891,12633441835344736,341576,299903740,300000000,1769
10,Benzetilmiş Tavlama (YZ),8811360516684742656,100,749,1020,11764166243904864,400516,299986623,300000000,1769
11,Rastgele,9900054323226808320,100,875,1059,11314347797973494,377126,329985411,330000000,1934
11,Açgözlü (Greedy),13751996258093754368,100,671,1263,20494778328008576,491779,329983396,330000000,1934
11,Genetik Algoritma (YZ),12083205092336201728,100,953,981,12679123916407348,346184,329913599,330000000,1934
11,Benzetilmiş Tavlama (YZ),10560018410292512768,100,873,1061,12096241019808148,377993,329987867,330000000,1934
12,Rastgele,10394615436217610240,100,949,1125,10953230175150274,379335,359988703,360000000,2074
